2019-02-27 16:22:45 install gzip:amd64 <none> 1.6-4ubuntu1
2019-02-27 16:22:45 status half-installed gzip:amd64 1.6-4ubuntu1
2019-02-27 16:22:45 status unpacked gzip:amd64 1.6-4ubuntu1
2019-02-27 16:22:45 status unpacked gzip:amd64 1.6-4ubuntu1
2019-02-27 16:22:45 install hostname:amd64 <none> 3.16ubuntu2
2019-02-27 16:22:45 status half-installed hostname:amd64 3.16ubuntu2
2019-02-27 16:22:45 status unpacked hostname:amd64 3.16ubuntu2
2019-02-27 16:22:45 status unpacked hostname:amd64 3.16ubuntu2
2019-02-27 16:22:45 install init:amd64 <none> 1.29ubuntu1
2019-02-27 16:22:45 status half-installed init:amd64 1.29ubuntu1
2019-02-27 16:22:45 status unpacked init:amd64 1.29ubuntu1
2019-02-27 16:22:45 status unpacked init:amd64 1.29ubuntu1
2019-02-27 16:22:45 install init-system-helpers:all <none> 1.29ubuntu1
2019-02-27 16:22:45 status half-installed init-system-helpers:all 1.29ubuntu1
2019-02-27 16:22:45 status unpacked init-system-helpers:all 1.29ubuntu1
2019-02-27 16:22:45 status unpacked init-system-helpers:all 1.29ubuntu1
2019-02-27 16:22:45 install initscripts:amd64 <none> 2.88dsf-59.3ubuntu2
2019-02-27 16:22:45 status half-installed initscripts:amd64 2.88dsf-59.3ubuntu2
2019-02-27 16:22:45 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2019-02-27 16:22:45 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2019-02-27 16:22:45 install insserv:amd64 <none> 1.14.0-5ubuntu3
2019-02-27 16:22:45 status half-installed insserv:amd64 1.14.0-5ubuntu3
2019-02-27 16:22:45 status unpacked insserv:amd64 1.14.0-5ubuntu3
2019-02-27 16:22:45 status unpacked insserv:amd64 1.14.0-5ubuntu3
2019-02-27 16:22:45 install libacl1:amd64 <none> 2.2.52-3
2019-02-27 16:22:45 status half-installed libacl1:amd64 2.2.52-3
2019-02-27 16:22:45 status unpacked libacl1:amd64 2.2.52-3
2019-02-27 16:22:45 status unpacked libacl1:amd64 2.2.52-3
2019-02-27 16:22:45 install libapparmor1:amd64 <none> 2.10.95-0ubuntu2
2019-02-27 16:22:45 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2
2019-02-27 16:22:45 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2019-02-27 16:22:45 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2019-02-27 16:22:45 install libattr1:amd64 <none> 1:2.4.47-2
2019-02-27 16:22:45 status half-installed libattr1:amd64 1:2.4.47-2
2019-02-27 16:22:45 status unpacked libattr1:amd64 1:2.4.47-2
2019-02-27 16:22:45 status unpacked libattr1:amd64 1:2.4.47-2
2019-02-27 16:22:45 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2019-02-27 16:22:45 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2019-02-27 16:22:45 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2019-02-27 16:22:45 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2019-02-27 16:22:45 install libaudit1:amd64 <none> 1:2.4.5-1ubuntu2
2019-02-27 16:22:45 status half-installed libaudit1:amd64 1:2.4.5-1ubuntu2
2019-02-27 16:22:45 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2019-02-27 16:22:45 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2019-02-27 16:22:45 install libblkid1:amd64 <none> 2.27.1-6ubuntu3
2019-02-27 16:22:45 status half-installed libblkid1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:45 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:45 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:45 install libbz2-1.0:amd64 <none> 1.0.6-8
2019-02-27 16:22:45 status half-installed libbz2-1.0:amd64 1.0.6-8
2019-02-27 16:22:45 status unpacked libbz2-1.0:amd64 1.0.6-8
2019-02-27 16:22:45 status unpacked libbz2-1.0:amd64 1.0.6-8
2019-02-27 16:22:45 install libc-bin:amd64 <none> 2.23-0ubuntu3
2019-02-27 16:22:45 status half-installed libc-bin:amd64 2.23-0ubuntu3
2019-02-27 16:22:45 status unpacked libc-bin:amd64 2.23-0ubuntu3
2019-02-27 16:22:45 status unpacked libc-bin:amd64 2.23-0ubuntu3
2019-02-27 16:22:45 upgrade libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2019-02-27 16:22:45 status half-configured libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:45 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:45 status half-installed libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:46 status half-installed libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:46 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:46 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:46 install libcap2:amd64 <none> 1:2.24-12
2019-02-27 16:22:46 status half-installed libcap2:amd64 1:2.24-12
2019-02-27 16:22:46 status unpacked libcap2:amd64 1:2.24-12
2019-02-27 16:22:46 status unpacked libcap2:amd64 1:2.24-12
2019-02-27 16:22:46 install libcap2-bin:amd64 <none> 1:2.24-12
2019-02-27 16:22:46 status half-installed libcap2-bin:amd64 1:2.24-12
2019-02-27 16:22:46 status unpacked libcap2-bin:amd64 1:2.24-12
2019-02-27 16:22:46 status unpacked libcap2-bin:amd64 1:2.24-12
2019-02-27 16:22:46 install libcomerr2:amd64 <none> 1.42.13-1ubuntu1
2019-02-27 16:22:46 status half-installed libcomerr2:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:46 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:46 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:46 install libcryptsetup4:amd64 <none> 2:1.6.6-5ubuntu2
2019-02-27 16:22:46 status half-installed libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2019-02-27 16:22:46 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2019-02-27 16:22:46 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2019-02-27 16:22:46 install libdb5.3:amd64 <none> 5.3.28-11
2019-02-27 16:22:46 status half-installed libdb5.3:amd64 5.3.28-11
2019-02-27 16:22:46 status unpacked libdb5.3:amd64 5.3.28-11
2019-02-27 16:22:46 status unpacked libdb5.3:amd64 5.3.28-11
2019-02-27 16:22:46 install libdebconfclient0:amd64 <none> 0.198ubuntu1
2019-02-27 16:22:46 status half-installed libdebconfclient0:amd64 0.198ubuntu1
2019-02-27 16:22:46 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2019-02-27 16:22:46 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2019-02-27 16:22:46 install libdevmapper1.02.1:amd64 <none> 2:1.02.110-1ubuntu10
2019-02-27 16:22:46 status half-installed libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2019-02-27 16:22:46 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2019-02-27 16:22:46 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2019-02-27 16:22:46 install libfdisk1:amd64 <none> 2.27.1-6ubuntu3
2019-02-27 16:22:46 status half-installed libfdisk1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:46 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:46 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:46 install libgcc1:amd64 <none> 1:6.0.1-0ubuntu1
2019-02-27 16:22:46 status half-installed libgcc1:amd64 1:6.0.1-0ubuntu1
2019-02-27 16:22:46 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2019-02-27 16:22:46 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2019-02-27 16:22:46 install libgcrypt20:amd64 <none> 1.6.5-2
2019-02-27 16:22:46 status half-installed libgcrypt20:amd64 1.6.5-2
2019-02-27 16:22:46 status unpacked libgcrypt20:amd64 1.6.5-2
2019-02-27 16:22:46 status unpacked libgcrypt20:amd64 1.6.5-2
2019-02-27 16:22:46 install libgpg-error0:amd64 <none> 1.21-2ubuntu1
2019-02-27 16:22:46 status half-installed libgpg-error0:amd64 1.21-2ubuntu1
2019-02-27 16:22:46 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2019-02-27 16:22:46 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2019-02-27 16:22:46 install libkmod2:amd64 <none> 22-1ubuntu4
2019-02-27 16:22:46 status half-installed libkmod2:amd64 22-1ubuntu4
2019-02-27 16:22:46 status unpacked libkmod2:amd64 22-1ubuntu4
